Typical Measured Spectrum of Semrock FF01-810/10 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
378.4	8.3512e-08
378.6	7.6037e-08
378.8	6.9231e-08
379.0	6.3035e-08
379.2	5.7393e-08
379.4	5.2256e-08
379.6	4.7579e-08
379.8	4.332e-08
380.0	3.9443e-08
380.2	3.5913e-08
380.4	3.2698e-08
380.6	2.9772e-08
380.8	2.7107e-08
381.0	2.4681e-08
381.2	2.2472e-08
381.4	2.046e-08
381.6	1.8629e-08
381.8	1.6962e-08
382.0	1.5444e-08
382.2	1.4061e-08
382.4	1.3495e-08
382.6	1.3423e-08
382.8	1.3352e-08
383.0	1.3281e-08
383.2	1.3211e-08
383.4	1.3141e-08
383.6	1.3071e-08
383.8	1.3002e-08
384.0	1.2933e-08
384.2	1.2864e-08
384.4	1.2796e-08
384.6	1.2728e-08
384.8	1.2661e-08
385.0	1.2594e-08
385.2	1.2527e-08
385.4	1.246e-08
385.6	1.2394e-08
385.8	1.2329e-08
386.0	1.2263e-08
386.2	1.2198e-08
386.4	1.2134e-08
386.6	1.2069e-08
386.8	1.2005e-08
387.0	1.194e-08
387.2	1.1871e-08
387.4	1.1803e-08
387.6	1.1735e-08
387.8	1.1667e-08
388.0	1.16e-08
388.2	1.1533e-08
388.4	1.1467e-08
388.6	1.1401e-08
388.8	1.1335e-08
389.0	1.127e-08
389.2	1.1205e-08
389.4	1.114e-08
389.6	1.1076e-08
389.8	1.1012e-08
390.0	1.0949e-08
390.2	1.0886e-08
390.4	1.0823e-08
390.6	1.0761e-08
390.8	1.0699e-08
391.0	1.0637e-08
391.2	1.0576e-08
391.4	1.0515e-08
391.6	1.0503e-08
391.8	1.09e-08
392.0	1.1311e-08
392.2	1.1188e-08
392.4	1.1067e-08
392.6	1.0947e-08
392.8	1.0828e-08
393.0	1.1774e-08
393.2	1.3272e-08
393.4	1.496e-08
393.6	1.6864e-08
393.8	1.9009e-08
394.0	2.1427e-08
394.2	2.4153e-08
394.4	2.7225e-08
394.6	3.0688e-08
394.8	3.4592e-08
395.0	3.8993e-08
395.2	4.3953e-08
395.4	4.9544e-08
395.6	5.5847e-08
395.8	6.2951e-08
396.0	7.0959e-08
396.2	7.9986e-08
396.4	9.016e-08
396.6	1.0e-07
396.8	1.0e-07
397.0	1.0e-07
397.2	1.0e-07
397.4	1.0e-07
397.6	1.0e-07
397.8	1.0e-07
398.0	1.0e-07
398.2	1.0e-07
398.4	1.0e-07
398.6	1.0e-07
398.8	1.0e-07
399.0	1.0e-07
399.2	1.0e-07
399.4	1.0e-07
399.6	1.0e-07
399.8	1.0e-07
400.0	1.0e-07
400.2	1.0e-07
400.4	9.5099e-08
400.6	8.6937e-08
400.8	7.9475e-08
401.0	7.2654e-08
401.2	6.6418e-08
401.4	6.0718e-08
401.6	5.5506e-08
401.8	5.0742e-08
402.0	4.6387e-08
402.2	4.2406e-08
402.4	3.8766e-08
402.6	3.5439e-08
402.8	3.2397e-08
403.0	2.9617e-08
403.2	2.7075e-08
403.4	2.4751e-08
403.6	2.2627e-08
403.8	2.0685e-08
404.0	1.8909e-08
404.2	2.0667e-08
404.4	2.2608e-08
404.6	2.4732e-08
404.8	2.7056e-08
405.0	2.9597e-08
405.2	3.2378e-08
405.4	3.5419e-08
405.6	3.8746e-08
405.8	4.2386e-08
406.0	4.6368e-08
406.2	5.0724e-08
406.4	5.5489e-08
406.6	6.0701e-08
406.8	6.6403e-08
407.0	7.2641e-08
407.2	7.9465e-08
407.4	8.693e-08
407.6	9.5096e-08
407.8	9.5476e-08
408.0	8.594e-08
408.2	7.7356e-08
408.4	6.963e-08
408.6	6.2676e-08
408.8	5.6416e-08
409.0	5.0781e-08
409.2	4.5709e-08
409.4	4.1144e-08
409.6	3.7035e-08
409.8	3.3336e-08
410.0	3.0006e-08
410.2	2.7009e-08
410.4	2.4312e-08
410.6	2.1883e-08
410.8	1.9698e-08
411.0	1.773e-08
411.2	1.596e-08
411.4	1.4366e-08
411.6	1.5612e-08
411.8	1.7345e-08
412.0	1.927e-08
412.2	2.141e-08
412.4	2.3787e-08
412.6	2.6428e-08
412.8	2.9362e-08
413.0	3.2622e-08
413.2	3.6244e-08
413.4	4.0267e-08
413.6	4.4738e-08
413.8	4.9705e-08
414.0	5.5223e-08
414.2	6.1354e-08
414.4	6.8166e-08
414.6	7.5734e-08
414.8	8.4142e-08
415.0	9.3484e-08
415.2	9.6445e-08
415.4	8.7218e-08
415.6	7.8873e-08
415.8	7.1327e-08
416.0	6.4503e-08
416.2	5.8332e-08
416.4	5.2752e-08
416.6	4.7705e-08
416.8	4.3141e-08
417.0	3.9014e-08
417.2	3.5281e-08
417.4	3.1906e-08
417.6	2.8853e-08
417.8	2.6093e-08
418.0	2.3596e-08
418.2	2.1339e-08
418.4	1.9297e-08
418.6	1.7451e-08
418.8	1.5782e-08
419.0	1.6882e-08
419.2	1.8669e-08
419.4	2.0646e-08
419.6	2.2831e-08
419.8	2.5248e-08
420.0	2.792e-08
420.2	3.0876e-08
420.4	3.4144e-08
420.6	3.7758e-08
420.8	4.1755e-08
421.0	4.6175e-08
421.2	5.1063e-08
421.4	5.6468e-08
421.6	6.2445e-08
421.8	6.9055e-08
422.0	7.6365e-08
422.2	8.4448e-08
422.4	9.3387e-08
422.6	1.0e-07
422.8	1.0e-07
423.0	1.0e-07
423.2	1.0e-07
423.4	1.0e-07
423.6	1.0e-07
423.8	1.0e-07
424.0	1.0e-07
424.2	1.0e-07
424.4	1.0e-07
424.6	1.0e-07
424.8	1.0e-07
425.0	1.0e-07
425.2	1.0e-07
425.4	1.0e-07
425.6	1.0e-07
425.8	1.0e-07
426.0	1.0e-07
426.2	1.0e-07
426.4	1.0e-07
426.6	1.0e-07
426.8	1.0e-07
427.0	1.0e-07
427.2	1.0e-07
427.4	1.0e-07
427.6	1.0e-07
427.8	1.0e-07
428.0	1.0e-07
428.2	1.0e-07
428.4	1.0e-07
428.6	1.0e-07
428.8	1.0e-07
429.0	1.0e-07
429.2	1.0e-07
429.4	1.0e-07
429.6	1.0e-07
429.8	1.0e-07
430.0	1.0e-07
430.2	9.7372e-08
430.4	8.9358e-08
430.6	8.2003e-08
430.8	7.5254e-08
431.0	6.906e-08
431.2	6.3376e-08
431.4	5.816e-08
431.6	5.3373e-08
431.8	4.898e-08
432.0	4.4948e-08
432.2	4.1249e-08
432.4	3.7854e-08
432.6	3.4738e-08
432.8	3.1879e-08
433.0	2.9255e-08
433.2	2.6847e-08
433.4	2.4638e-08
433.6	2.261e-08
433.8	2.0749e-08
434.0	2.0207e-08
434.2	2.0052e-08
434.4	1.9898e-08
434.6	1.9746e-08
434.8	1.9594e-08
435.0	1.9444e-08
435.2	1.9295e-08
435.4	1.9147e-08
435.6	1.9e-08
435.8	1.8854e-08
436.0	1.871e-08
436.2	1.8566e-08
436.4	1.8424e-08
436.6	1.8283e-08
436.8	1.8143e-08
437.0	1.8003e-08
437.2	1.7865e-08
437.4	1.7728e-08
437.6	1.798e-08
437.8	1.9746e-08
438.0	2.1685e-08
438.2	2.3815e-08
438.4	2.6154e-08
438.6	2.8723e-08
438.8	3.1544e-08
439.0	3.4643e-08
439.2	3.8045e-08
439.4	4.1782e-08
439.6	4.5886e-08
439.8	5.0392e-08
440.0	5.5342e-08
440.2	6.0777e-08
440.4	6.6747e-08
440.6	7.3302e-08
440.8	8.0502e-08
441.0	8.8409e-08
441.2	9.7092e-08
441.4	1.0e-07
441.6	1.0e-07
441.8	1.0e-07
442.0	1.0e-07
442.2	1.0e-07
442.4	1.0e-07
442.6	1.0e-07
442.8	1.0e-07
443.0	1.0e-07
443.2	1.0e-07
443.4	1.0e-07
443.6	1.0e-07
443.8	1.0e-07
444.0	1.0e-07
444.2	1.0e-07
444.4	1.0e-07
444.6	1.0e-07
444.8	1.0e-07
445.0	1.0e-07
445.2	1.0e-07
445.4	1.0e-07
445.6	1.0e-07
445.8	1.0e-07
446.0	1.0e-07
446.2	1.0e-07
446.4	1.0e-07
446.6	1.0e-07
446.8	1.0e-07
447.0	1.0e-07
447.2	1.0e-07
447.4	1.0e-07
447.6	1.0e-07
447.8	1.0e-07
448.0	1.0e-07
448.2	1.0e-07
448.4	1.0e-07
448.6	1.0e-07
448.8	1.0e-07
449.0	1.0e-07
449.2	1.0e-07
449.4	1.0e-07
449.6	1.0e-07
449.8	1.0e-07
450.0	1.0e-07
450.2	1.0e-07
450.4	1.0e-07
450.6	1.0e-07
450.8	1.0e-07
451.0	1.0e-07
451.2	1.0e-07
451.4	1.0e-07
451.6	1.0e-07
451.8	1.0e-07
452.0	1.0e-07
452.2	1.0e-07
452.4	1.0e-07
452.6	1.0e-07
452.8	1.0e-07
453.0	1.0e-07
453.2	1.0e-07
453.4	1.0e-07
453.6	1.0e-07
453.8	1.0e-07
454.0	1.0e-07
454.2	1.0e-07
454.4	1.0e-07
454.6	1.0e-07
454.8	1.0e-07
455.0	1.0e-07
455.2	1.0e-07
455.4	1.0e-07
455.6	1.0e-07
455.8	1.0e-07
456.0	1.0e-07
456.2	1.0e-07
456.4	1.0e-07
456.6	1.0e-07
456.8	1.0e-07
457.0	1.0e-07
457.2	1.0e-07
457.4	1.0e-07
457.6	1.0e-07
457.8	1.0e-07
458.0	1.0e-07
458.2	1.0e-07
458.4	1.0e-07
458.6	1.0e-07
458.8	1.0e-07
459.0	1.0e-07
459.2	1.0e-07
459.4	1.0e-07
459.6	1.0e-07
459.8	9.8873e-08
460.0	9.2674e-08
460.2	8.6864e-08
460.4	8.1418e-08
460.6	7.6313e-08
460.8	7.1529e-08
461.0	6.7044e-08
461.2	6.2841e-08
461.4	5.8901e-08
461.6	5.5208e-08
461.8	5.1746e-08
462.0	4.8502e-08
462.2	4.5461e-08
462.4	4.2611e-08
462.6	3.9939e-08
462.8	3.7435e-08
463.0	3.5088e-08
463.2	3.2888e-08
463.4	3.0826e-08
463.6	3.1656e-08
463.8	3.3775e-08
464.0	3.6036e-08
464.2	3.8447e-08
464.4	4.1021e-08
464.6	4.3766e-08
464.8	4.6695e-08
465.0	4.982e-08
465.2	5.3155e-08
465.4	5.6712e-08
465.6	6.0508e-08
465.8	6.4558e-08
466.0	6.8878e-08
466.2	7.3488e-08
466.4	7.8407e-08
466.6	8.3654e-08
466.8	8.9253e-08
467.0	9.5227e-08
467.2	9.5534e-08
467.4	7.9281e-08
467.6	6.5793e-08
467.8	5.46e-08
468.0	4.5311e-08
468.2	4.8211e-08
468.4	5.1297e-08
468.6	5.458e-08
468.8	5.8073e-08
469.0	6.179e-08
469.2	6.5745e-08
469.4	6.9953e-08
469.6	7.443e-08
469.8	7.9194e-08
470.0	8.4263e-08
470.2	8.9656e-08
470.4	9.5394e-08
470.6	9.8234e-08
470.8	9.1203e-08
471.0	8.4675e-08
471.2	7.8615e-08
471.4	7.2989e-08
471.6	6.7765e-08
471.8	6.2915e-08
472.0	5.8412e-08
472.2	5.4231e-08
472.4	5.035e-08
472.6	4.6746e-08
472.8	4.3401e-08
473.0	4.0295e-08
473.2	3.7411e-08
473.4	3.4733e-08
473.6	3.2247e-08
473.8	2.9939e-08
474.0	2.7797e-08
474.2	2.5807e-08
474.4	2.6764e-08
474.6	2.8829e-08
474.8	3.1052e-08
475.0	3.3447e-08
475.2	3.6027e-08
475.4	3.8806e-08
475.6	4.1799e-08
475.8	4.5023e-08
476.0	4.8496e-08
476.2	5.2236e-08
476.4	5.6265e-08
476.6	6.0605e-08
476.8	6.528e-08
477.0	7.0315e-08
477.2	7.5738e-08
477.4	8.158e-08
477.6	8.7872e-08
477.8	9.465e-08
478.0	1.0317e-07
478.2	1.1634e-07
478.4	1.3119e-07
478.6	1.4793e-07
478.8	1.6681e-07
479.0	1.881e-07
479.2	2.1211e-07
479.4	2.3918e-07
479.6	2.6971e-07
479.8	3.0413e-07
480.0	3.4295e-07
480.2	3.8672e-07
480.4	4.3607e-07
480.6	4.9173e-07
480.8	5.5449e-07
481.0	6.2526e-07
481.2	7.0506e-07
481.4	7.9504e-07
481.6	8.9651e-07
481.8	8.3921e-07
482.0	7.4652e-07
482.2	6.6407e-07
482.4	5.9072e-07
482.6	5.2548e-07
482.8	4.6744e-07
483.0	4.1581e-07
483.2	3.6989e-07
483.4	3.2903e-07
483.6	2.9269e-07
483.8	2.6037e-07
484.0	2.3161e-07
484.2	2.0603e-07
484.4	1.8327e-07
484.6	1.6303e-07
484.8	1.4502e-07
485.0	1.2901e-07
485.2	1.1476e-07
485.4	1.0581e-07
485.6	1.0548e-07
485.8	1.0516e-07
486.0	1.0483e-07
486.2	1.045e-07
486.4	1.0418e-07
486.6	1.0385e-07
486.8	1.0353e-07
487.0	1.0321e-07
487.2	1.0289e-07
487.4	1.0257e-07
487.6	1.0225e-07
487.8	1.0193e-07
488.0	1.0161e-07
488.2	1.013e-07
488.4	1.0098e-07
488.6	1.0067e-07
488.8	1.0036e-07
489.0	1.0004e-07
489.2	9.3612e-08
489.4	8.6695e-08
489.6	8.0289e-08
489.8	7.4356e-08
490.0	6.8862e-08
490.2	6.3774e-08
490.4	5.9062e-08
490.6	5.4698e-08
490.8	5.0656e-08
491.0	4.6913e-08
491.2	4.3447e-08
491.4	4.0237e-08
491.6	3.7264e-08
491.8	3.451e-08
492.0	3.196e-08
492.2	2.9599e-08
492.4	2.7412e-08
492.6	2.5386e-08
492.8	2.5087e-08
493.0	2.7167e-08
493.2	2.9419e-08
493.4	3.1858e-08
493.6	3.4499e-08
493.8	3.7359e-08
494.0	4.0456e-08
494.2	4.381e-08
494.4	4.7441e-08
494.6	5.1374e-08
494.8	5.5633e-08
495.0	6.0245e-08
495.2	6.5239e-08
495.4	7.0648e-08
495.6	7.6504e-08
495.8	8.2846e-08
496.0	8.9714e-08
496.2	9.7152e-08
